ID|Tanggal|Kategori|Deskripsi|Jumlah|IDUser
1|15-12-2025|Makanan|Sarapan Nasi Uduk|15000.00|1
2|16-12-2025|Transportasi|Beli Bensin|20000.00|1
3|17-12-2025|Belanja|Beli Pulsa|25000.00|1
4|18-12-2025|Makanan|Makan Siang|20000.00|1
5|19-12-2025|Hiburan|Nonton Bioskop|50000.00|1
6|20-12-2025|Belanja|Beli Kaos|40000.00|1
7|21-12-2025|Makanan|Makan Di Kantin|12000.00|1
8|21-12-2025|Minuman|Beli Esteh|3000.00|1
9|21-12-2025|Makanan|Beli Siomay|5000.00|1
10|21-12-2025|Makanan|Batagor|5000.00|1
11|22-12-2025|Makanan|Nasi Geprek|15000.00|1
12|22-12-2025|Transportasi|Beli Bensin 20K|20000.00|1
13|23-12-2025|Makanan|Nasi Goreng|10000.00|1
14|23-12-2025|Belanja|CheckOut Topi|20000.00|1
15|23-12-2025|Transportasi|Pergi ke Pasar|5000.00|1
